task_id	stratum	category	difficulty	budget	verifier_timeout_s	daytona_base
calibforge__contrastive_solver__system-administration_20260617_210354_009	contrastive/gap	system-administration	medium	900.0	300.0	tb2verifier
calibforge__contrastive_solver__video-processing_20260615_143956_001	contrastive/nogap	video-processing	hard	3600.0	600.0	tb2verifier
calibforge__multi_solver__data-processing_20260413_173854_004	multi/nogap	data-processing	medium	900.0	600.0	ubuntu2404
calibforge__multi_solver__data-processing_20260414_211532_004	multi/nogap	data-processing	medium	900.0	600.0	ubuntu2404
calibforge__multi_solver__data-science_20260413_173854_003	multi/nogap	data-science	medium	1800.0	600.0	ubuntu2404
calibforge__multi_solver__data-science_20260414_091921_004	multi/nogap	data-science	medium	1800.0	1800.0	ubuntu2404
calibforge__multi_solver__data-science_20260414_091921_005	multi/nogap	data-science	medium	1800.0	600.0	ubuntu2404
calibforge__multi_solver__data-science_20260414_211453_006	multi/nogap	data-science	medium	3600.0	3600.0	ubuntu2404
calibforge__multi_solver__data-science_20260416_172928_002	multi/nogap	data-science	medium	1800.0	600.0	ubuntu2404
calibforge__multi_solver__debugging_20260414_211532_001	multi/nogap	debugging	medium	900.0	900.0	ubuntu2404
calibforge__multi_solver__debugging_20260415_123352_004	multi/nogap	debugging	medium	600.0	300.0	ubuntu2404
calibforge__multi_solver__debugging_20260416_020953_001	multi/gap	debugging	medium	600.0	600.0	ubuntu2404
calibforge__multi_solver__file-operations_20260417_145736_004	multi/nogap	file-operations	medium	900.0	600.0	ubuntu2404
calibforge__multi_solver__file-operations_20260419_182351_001	multi/nogap	file-operations	medium	900.0	600.0	ubuntu2404
calibforge__multi_solver__file-operations_20260421_155939_001	multi/nogap	file-operations	medium	900.0	900.0	ubuntu2404
calibforge__multi_solver__machine-learning_20260413_174325_003	multi/nogap	machine-learning	medium	900.0	300.0	ubuntu2404
calibforge__multi_solver__machine-learning_20260416_172928_003	multi/nogap	machine-learning	medium	1800.0	300.0	ubuntu2404
calibforge__multi_solver__mathematics_20260417_145736_002	multi/nogap	mathematics	medium	900.0	300.0	bookworm
calibforge__multi_solver__mathematics_20260419_182351_002	multi/nogap	mathematics	medium	1800.0	600.0	bookworm
calibforge__multi_solver__model-training_20260417_145736_003	multi/nogap	model-training	medium	900.0	900.0	ubuntu2404
calibforge__multi_solver__model-training_20260421_155939_001	multi/nogap	model-training	medium	1800.0	1200.0	ubuntu2404
calibforge__multi_solver__optimization_20260418_044216_001	multi/nogap	optimization	medium	1800.0	1800.0	bookworm
calibforge__multi_solver__personal-assistant_20260414_091921_001	multi/nogap	personal-assistant	medium	1200.0	1200.0	ubuntu2404
calibforge__multi_solver__scientific-computing_20260414_091921_004	multi/nogap	scientific-computing	medium	1800.0	1800.0	ubuntu2404
calibforge__multi_solver__scientific-computing_20260415_094424_002	multi/nogap	scientific-computing	hard	3600.0	1800.0	ubuntu2404
calibforge__multi_solver__scientific-computing_20260417_145736_006	multi/nogap	scientific-computing	medium	1800.0	600.0	ubuntu2404
calibforge__multi_solver__scientific-computing_20260418_044216_006	multi/nogap	scientific-computing	hard	1800.0	600.0	ubuntu2404
calibforge__multi_solver__scientific-computing_20260419_065313_004	multi/nogap	scientific-computing	medium	1800.0	600.0	ubuntu2404
calibforge__multi_solver__security_20260414_211532_003	multi/nogap	security	medium	1800.0	300.0	ubuntu2404
calibforge__multi_solver__security_20260415_094424_003	multi/nogap	security	medium	1800.0	600.0	ubuntu2404
calibforge__multi_solver__security_20260415_182321_002	multi/nogap	security	medium	1800.0	900.0	ubuntu2404
calibforge__multi_solver__security_20260415_182321_008	multi/gap	security	medium	900.0	600.0	ubuntu2404
calibforge__multi_solver__security_20260418_044216_008	multi/gap	security	medium	900.0	600.0	ubuntu2404
calibforge__multi_solver__security_20260419_112101_003	multi/nogap	security	medium	1800.0	600.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260413_174325_011	multi/nogap	software-engineering	medium	1800.0	300.0	bookworm
calibforge__multi_solver__software-engineering_20260413_174325_017	multi/gap	software-engineering	medium	900.0	300.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260414_091921_005	multi/nogap	software-engineering	medium	900.0	300.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260414_091921_018	multi/gap	software-engineering	medium	900.0	600.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260414_211453_004	multi/gap	software-engineering	medium	1800.0	300.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260414_211453_008	multi/gap	software-engineering	medium	1800.0	600.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260414_211532_025	multi/gap	software-engineering	medium	1800.0	600.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260415_094424_015	multi/gap	software-engineering	medium	1800.0	600.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260415_094424_016	multi/gap	software-engineering	medium	1800.0	300.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260415_094424_021	multi/gap	software-engineering	hard	1800.0	600.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260415_123352_007	multi/nogap	software-engineering	easy	900.0	900.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260415_182321_001	multi/gap	software-engineering	medium	600.0	300.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260415_182321_004	multi/gap	software-engineering	medium	1800.0	300.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260416_031414_002	multi/gap	software-engineering	medium	1800.0	600.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260417_145736_017	multi/gap	software-engineering	medium	600.0	300.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260417_145736_026	multi/gap	software-engineering	medium	900.0	300.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260418_044216_017	multi/gap	debugging	easy	900.0	600.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260418_044216_026	multi/gap	software-engineering	hard	1800.0	600.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260418_190236_019	multi/nogap	debugging	medium	1800.0	300.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260419_023954_004	multi/gap	software-engineering	easy	600.0	300.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260419_023954_024	multi/nogap	software-engineering	medium	900.0	300.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260419_065313_007	multi/gap	software-engineering	easy	900.0	900.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260419_065313_010	multi/gap	debugging	easy	1800.0	600.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260419_112101_017	multi/gap	software-engineering	easy	600.0	300.0	ubuntu2404
calibforge__multi_solver__software-engineering_20260419_112101_022	multi/nogap	software-engineering	medium	1800.0	600.0	bookworm
calibforge__multi_solver__software-engineering_20260419_182351_005	multi/nogap	software-engineering	medium	600.0	300.0	bookworm
calibforge__multi_solver__system-administration_20260415_094424_003	multi/nogap	system-administration	medium	600.0	600.0	ubuntu2404
calibforge__multi_solver__system-administration_20260415_094424_009	multi/nogap	system-administration	medium	900.0	300.0	ubuntu2404
calibforge__multi_solver__system-administration_20260415_182321_009	multi/nogap	system-administration	medium	600.0	600.0	ubuntu2404
calibforge__multi_solver__system-administration_20260416_020953_007	multi/nogap	system-administration	medium	900.0	600.0	ubuntu2404
calibforge__multi_solver__system-administration_20260417_145736_009	multi/nogap	system-administration	medium	900.0	600.0	ubuntu2404
calibforge__multi_solver__system-administration_20260419_023954_005	multi/nogap	system-administration	medium	1800.0	600.0	ubuntu2404
calibforge__multi_solver__system-administration_20260421_155939_002	multi/nogap	system-administration	hard	900.0	600.0	ubuntu2404
